Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
1/1/2019,22°C,31°C,21 Km/h,N/A,N/A,N/A,N/A,,Chuva
2/1/2019,22°C,33°C,24 Km/h,42 Km/h,0mm,N/A,N/A,,Tempestade de raios
3/1/2019,22°C,33°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
4/1/2019,22°C,27°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
5/1/2019,21°C,27°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
6/1/2019,21°C,31°C,N/A,N/A,N/A,N/A,N/A,,Chuva
7/1/2019,21°C,34°C,24 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/1/2019,22°C,35°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
9/1/2019,21°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
10/1/2019,20°C,34°C,13 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/1/2019,21°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
12/1/2019,22°C,31°C,N/A,24 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
13/01/2019,19°C,33°C,11 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
14/01/2019,21°C,34°C,15 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
15/01/2019,20°C,34°C,N/A,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
16/01/2019,23°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
17/01/2019,22°C,31°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
18/01/2019,22°C,32°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/01/2019,21°C,34°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/01/2019,23°C,35°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/01/2019,22°C,35°C,16 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
22/01/2019,23°C,36°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
23/01/2019,22°C,35°C,26 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
24/01/2019,23°C,33°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
25/01/2019,21°C,36°C,37 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
26/01/2019,20°C,29°C,16 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
27/01/2019,19°C,28°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
28/01/2019,19°C,34°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
29/01/2019,21°C,35°C,13 Km/h,N/A,N/A,N/A,N/A,,Chuva
30/01/2019,21°C,35°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
31/01/2019,21°C,36°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
1/2/2019,22°C,37°C,21 Km/h,N/A,0mm,N/A,N/A,,Tempestade de raios
2/2/2019,21°C,36°C,15 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
3/2/2019,22°C,36°C,41 Km/h,72 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
4/2/2019,21°C,30°C,32 Km/h,N/A,N/A,N/A,N/A,,Chuva
5/2/2019,19°C,32°C,22 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
6/2/2019,22°C,30°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
7/2/2019,19°C,32°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
8/2/2019,20°C,34°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
9/2/2019,20°C,35°C,15 Km/h,N/A,N/A,N/A,N/A,,Chuva
10/2/2019,23°C,34°C,15 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
11/2/2019,24°C,35°C,N/A,N/A,0mm,N/A,N/A,,Tempestade de raios
12/2/2019,22°C,30°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
13/02/2019,22°C,27°C,16 Km/h,N/A,N/A,N/A,N/A,,Chuva
14/02/2019,21°C,32°C,21 Km/h,N/A,N/A,N/A,N/A,,Chuva
15/02/2019,22°C,28°C,22 Km/h,N/A,N/A,N/A,N/A,,Chuva
16/02/2019,21°C,24°C,13 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
17/02/2019,20°C,26°C,15 Km/h,N/A,N/A,N/A,N/A,,Chuva
18/02/2019,21°C,28°C,21 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
19/02/2019,21°C,32°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
20/02/2019,21°C,29°C,21 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
21/02/2019,21°C,29°C,13 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
22/02/2019,21°C,30°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
23/02/2019,20°C,34°C,16 Km/h,N/A,0mm,N/A,N/A,,eventos climáticos não informados
24/02/2019,22°C,35°C,N/A,N/A,0mm,N/A,N/A,,Tempestade de raios
25/02/2019,20°C,33°C,N/A,N/A,0mm,N/A,N/A,,eventos climáticos não informados
26/02/2019,22°C,30°C,29 Km/h,48 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
27/02/2019,19°C,31°C,34 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
28/02/2019,21°C,27°C,28 Km/h,N/A,N/A,N/A,N/A,,Chuva
1/3/2019,22°C,27°C,22 Km/h,32 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
2/3/2019,21°C,27°C,22 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
3/3/2019,21°C,28°C,13 Km/h,29 Km/h,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
4/3/2019,20°C,27°C,N/A,N/A,N/A,N/A,N/A,,Chuva
5/3/2019,21°C,30°C,11 Km/h,N/A,N/A,N/A,N/A,,Tempestade de raios
,,,,,,,,,Chuva
6/3/2019,21°C,31°C,15 Km/h,N/A,N/A,N/A,N/A,,Chuva
